Id,SalePrice
1461,134534.39251122848
1462,153535.49212624592
1463,189792.76715056482
1464,184161.05926041698
1465,197701.46680711402
1466,178496.2820044856
1467,175196.90992916794
1468,171001.7679014151
1469,175187.1119216576
1470,123846.31617700063
1471,213538.4031963752
1472,90383.90853702305
1473,91853.75052273824
1474,156917.332774632
1475,137188.89586757953
1476,362898.5350611768
1477,251923.09458323833
1478,306907.66470417794
1479,256032.4061699468
1480,512860.8737489819
1481,315820.3283346592
1482,202823.14483979825
1483,164558.60615093316
1484,169181.068220407
1485,169832.05683630283
1486,196627.2739117948
1487,332734.30706100375
1488,234061.55761425194
1489,206320.15700461925
1490,205055.77217646313
1491,184645.6492783729
1492,91651.741848462
1493,202713.9720621288
1494,277852.0559409654
1495,282186.019931738
1496,240688.96996124845
1497,181358.8681281899
1498,153259.20827564053
1499,152741.75185977443
1500,153900.14896406204
1501,170241.51946879012
1502,163502.08886747027
1503,296591.40201709507
1504,226724.5388573472
1505,232736.04364043876
1506,175145.55385874823
1507,245036.18117400352
1508,221728.22403868003
1509,166030.37018758437
1510,154480.90921391133
1511,139607.11565544648
1512,162200.8645732893
1513,144122.6793177968
1514,167445.47061360194
1515,185058.62466897743
1516,160077.65676656793
1517,158450.69765272035
1518,119783.34804792276
1519,227338.97281419986
1520,138885.4426852514
1521,143773.5501417247
1522,170977.690427137
1523,105464.0471272443
1524,113181.63376242363
1525,125325.83164477759
1526,134299.05491322232
1527,94301.40239525058
1528,138106.88251400925
1529,144177.3923247912
1530,174646.92847374288
1531,107017.29416220293
1532,95422.24245149693
1533,134077.9393412736
1534,124022.68874883102
1535,156546.7208182809
1536,104437.3233478445
1537,82733.82251343473
1538,192713.69883942817
1539,233402.0700045074
1540,111681.27093095158
1541,161539.96773977863
1542,148660.6804676771
1543,226793.9966019068
1544,80216.16962530887
1545,101609.18052336785
1546,133176.73433491838
1547,148990.03453306397
1548,137700.72129382275
1549,114522.86756591471
1550,156449.84345358436
1551,114269.20941915271
1552,137785.0944321887
1553,146085.38876256548
1554,106998.59244612763
1555,198375.38282716597
1556,124763.33615929946
1557,110084.13992338897
1558,96448.87214857411
1559,110611.60117554759
1560,130456.86325716684
1561,140750.79614422045
1562,129042.33128483081
1563,124372.29545652964
